# Wrap-up of analysis.
#	 filename 		 BJD 		 RV 		BIS		BIS-		BIS+		biGauss		Vasy		Vspan		FWHM		
	HARPS.2003-06-18T10:10:19.313_ccf_K5_A.fits		2452808.9307606202		-13.6815361514		0.0133037056223		0.0058696851488		0.0214134068345		-0.0146846670952		-18.1071461577		0.0080490175422		5.99432465397
	HARPS.2003-12-15T01:40:35.412_ccf_K5_A.fits		2452988.5733685000		-13.6795241658		0.014782229825		0.00524600433318		0.0253929418563		-0.0170497750254		-18.2863283073		0.00910155559325		5.9848638148
	HARPS.2004-05-15T08:04:11.682_ccf_K5_A.fits		2453140.8399492698		-13.6829995672		0.00942288092032		0.00439528685688		0.0159032076553		-0.0103400393924		-17.9854041277		0.0052996758132		5.99042633274
	HARPS.2004-10-10T02:38:26.465_ccf_K5_A.fits		2453288.6197443898		-13.6801604621		0.00923087995749		0.00392127269338		0.0156927942215		-0.0106863690027		-17.9621383218		0.00556474755647		5.98037616823
	HARPS.2006-11-09T01:36:15.074_ccf_K5_A.fits		2454048.5744488798		-13.6790419034		0.00975560405367		0.00239652686089		0.0189909690191		-0.0102391258285		-17.9626859856		0.00504284687975		5.9765031366
	HARPS.2008-08-21T07:29:51.804_ccf_K5_A.fits		2454699.8231154499		-13.6813585368		0.00958602015936		0.00284085760257		0.0182355587548		-0.0107845152401		-17.9568039139		0.00543138301789		5.99635827587
	HARPS.2008-08-22T06:36:17.187_ccf_K5_A.fits		2454700.7861414999		-13.6844282412		0.00993013466087		0.00395650094685		0.017542046179		-0.0114555374217		-17.9681685341		0.00576675708927		5.99237498291
	HARPS.2008-08-23T06:42:52.763_ccf_K5_A.fits		2454701.7904166598		-13.6831784105		0.0109294519356		0.00435680715707		0.020132911357		-0.0116413755723		-18.0355516206		0.00590278736013		5.99555873548
	HARPS.2008-08-24T06:34:40.185_ccf_K5_A.fits		2454702.7853729101		-13.6807833057		0.0100354898592		0.00127573898914		0.0208945072561		-0.0112881072509		-17.977053212		0.00542046515908		5.99734591685
	HARPS.2008-08-25T06:27:04.942_ccf_K5_A.fits		2454703.7793668602		-13.680809004		0.0113561456402		0.00357163465025		0.0201660113981		-0.0121939628735		-17.987239398		0.00625136223816		5.99617800821
	HARPS.2008-08-26T06:18:23.520_ccf_K5_A.fits		2454704.7733475999		-13.6796189319		0.010612383296		0.00351069044645		0.0195183886348		-0.0117296227081		-17.9552517433		0.00611835227774		5.99692600075
	HARPS.2008-08-27T06:46:27.164_ccf_K5_A.fits		2454705.7934843102		-13.6799192427		0.00942905137693		0.00183164233322		0.019733971386		-0.0112001619796		-17.9952708469		0.00488216165611		5.99520390279
	HARPS.2008-08-28T04:58:13.902_ccf_K5_A.fits		2454706.7177968901		-13.6819484052		0.0145571715543		0.00584886438932		0.0237639752714		-0.0153410704437		-18.0111632154		0.00891394926989		5.99836236901
	HARPS.2008-08-28T05:13:46.606_ccf_K5_A.fits		2454706.7279589898		-13.6815183713		0.00494961867888		-0.00327201186914		0.015552165202		-0.00945910213377		-17.7870753499		0.0024500573056		6.00031107987
	HARPS.2008-08-29T06:09:47.438_ccf_K5_A.fits		2454707.7677105302		-13.6837004498		0.00799693700861		0.00274674164372		0.0146334878175		-0.00917959642298		-17.9394985257		0.00402033339372		5.98746826509
	HARPS.2008-08-30T05:02:53.342_ccf_K5_A.fits		2454708.7210479202		-13.6846177056		0.00959196910538		0.00383376277887		0.0172040386902		-0.00986643274023		-17.9574065038		0.00548007527601		5.98862796429
	HARPS.2008-08-31T05:10:32.494_ccf_K5_A.fits		2454709.7265713802		-13.684283881		0.00996540893822		0.00239731007557		0.0195443939151		-0.0118139469567		-18.0723413434		0.00568278911803		5.99001584783
	HARPS.2008-09-01T05:14:26.967_ccf_K5_A.fits		2454710.7297204500		-13.6828223898		0.00813233839636		0.00268030878871		0.0147629045339		-0.00907069886269		-17.9715429192		0.00449350675453		5.98644129353
	HARPS.2008-09-11T03:47:42.958_ccf_K5_A.fits		2454720.6690593399		-13.6836699358		0.00696130672145		0.00127823975698		0.0138805154739		-0.00697649130914		-17.9272384622		0.00333221052722		5.98144880084
	HARPS.2008-09-12T02:24:02.933_ccf_K5_A.fits		2454721.6104318602		-13.684705261		0.0091501606427		0.00322235137304		0.0163295783647		-0.00860230492668		-18.018210272		0.00462312264758		5.98647911785
	HARPS.2008-09-21T04:58:49.837_ccf_K5_A.fits		2454730.7183234598		-13.6831220255		0.00856787511143		0.00283335156083		0.0174015472045		-0.010703794029		-17.9886338155		0.00488900571076		5.99252735284
	HARPS.2008-09-22T04:10:11.597_ccf_K5_A.fits		2454731.6842977600		-13.6840255051		0.00881039020596		0.00313248268684		0.0160328995091		-0.0102846665493		-17.9591933843		0.00466376399263		5.98905120381
	HARPS.2008-09-23T04:23:29.895_ccf_K5_A.fits		2454732.6937180599		-13.6834994642		0.00797816115934		0.00229432924		0.0143560190728		-0.0102232893119		-17.9020218905		0.00522556664434		5.9910689655
	HARPS.2008-09-24T04:55:50.996_ccf_K5_A.fits		2454733.7160413498		-13.6818388806		0.00841363121625		0.00260812470743		0.0158307394043		-0.00996156041373		-17.9266650985		0.00477150480702		5.99268570922
	HARPS.2008-09-25T04:15:31.893_ccf_K5_A.fits		2454734.6875779401		-13.679893586		0.00903476505061		0.00263007111673		0.0169121259719		-0.0101300647628		-17.9162498714		0.00568766395807		5.99627332138
